sku_id,target_gtin,score,source_brand,target_brand,brand_class,matched_rule,source_status,target_status,same_gtin,key_containment,shared_tokens,ratio,token_set_ratio,partial_ratio,levenshtein,tfidf_cosine_char,tfidf_cosine_word,token_jaccard,pair_rows,source_brand_corpus_rows,target_brand_corpus_rows
153415775,7611612221887,0.7499290108680725,Powerking,Powerking,same_brand_verified,verified brand keys equal,confirmed_by_co_listings,derived_only_not_independently_checkable,True,False,powerking,100.0,100.0,100.0,0,0.9999999999999999,1.0,1.0,1,134,134
510711467,3700749304540,0.7498963475227356,Marcel,Marcel,same_brand_verified,verified brand keys equal,confirmed_by_co_listings,derived_only_not_independently_checkable,True,False,marcel,100.0,100.0,100.0,0,1.0000000000000002,1.0,1.0,4,129,129
80905704,7611612515344,0.7494990825653076,Piacelli,Premier,different_brand_verified_hard_negative,source brand independently corroborated; the two brands differ,confirmed_by_title_only,derived_only_not_independently_checkable,False,False,,40.0,40.0,50.0,7,0.012029684809820347,0.0,0.0,1,15,343
2880687,3564700891827,0.7494626045227051,PureThé,Fresh Tea,brand_field_defect,target brand field holds a generic category word,confirmed_by_co_listings,generic_category_word,False,False,,50.0,50.0,57.14285714285714,6,0.015447742978973278,0.0,0.0,1,23,32
279017608,3301591000774,0.7494133114814758,Ekolo,Côteaux Nantais,different_brand_verified_hard_negative,source brand independently corroborated; the two brands differ,confirmed_by_title_only,derived_only_not_independently_checkable,False,False,,9.999999999999998,10.0,28.57142857142857,14,0.0,0.0,0.0,1,140,108
934800838,3375830000016,0.7492737770080566,Mont,Mont,same_brand_verified,verified brand keys equal,confirmed_by_co_listings,derived_only_not_independently_checkable,False,False,mont,100.0,100.0,100.0,0,1.0000000000000004,1.0,1.0,1,50,50
907813293,8690793010052,0.7491855621337891,Erikli,Erikli,same_brand_verified,verified brand keys equal,unverified_no_independent_evidence,derived_only_not_independently_checkable,False,False,erikli,100.0,100.0,100.0,0,1.0,1.0,1.0,5,169,169
49087055,4101130003544,0.7491661310195923,Quellbrunn,Rheinfels Quelle,different_brand_unverified_hard_negative,brand strings differ; no independent channel available to check either side,unverified_no_independent_evidence,derived_only_not_independently_checkable,False,False,,38.46153846153846,53.84615384615385,62.5,13,0.24691822667486504,0.0,0.0,1,25,51
74429047,5011026701203,0.7484854459762573,Mi Wadi,Mi Wadi,same_brand_verified,verified brand keys equal,confirmed_by_co_listings,derived_only_not_independently_checkable,False,False,mi wadi,100.0,100.0,100.0,0,0.9999999999999997,1.0,1.0,1,35,35
1041744561,850025251198,0.7484387159347534,Cure Hydration,Cure Hydration,same_brand_verified,verified brand keys equal,confirmed_by_co_listings,derived_only_not_independently_checkable,False,False,cure hydration,100.0,100.0,100.0,0,1.0,1.0,1.0,1,93,93
